pair,amount_in,winner
ATOM<>USDC,1,neutron-astroport
ATOM<>USDC,1,osmosis-poolmanager
ATOM<>USDC,50,neutron-astroport
ATOM<>USDC,50,osmosis-poolmanager
ATOM<>USDC,1000,neutron-duality
ATOM<>USDC,1000,osmosis-poolmanager
NTRN<>USDC,1,neutron-duality
NTRN<>USDC,1,neutron-astrovault
NTRN<>USDC,50,neutron-duality
NTRN<>USDC,50,neutron-astroport
NTRN<>USDC,1000,neutron-astroport
NTRN<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,osmosis-poolmanager
TIA<>USDC,50,neutron-duality
TIA<>USDC,50,osmosis-poolmanager
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
ATOM<>USDC,1,neutron-astroport
ATOM<>USDC,1,osmosis-poolmanager
ATOM<>USDC,50,neutron-astroport
ATOM<>USDC,50,osmosis-poolmanager
ATOM<>USDC,1000,neutron-duality
ATOM<>USDC,1000,osmosis-poolmanager
NTRN<>USDC,1,neutron-duality
NTRN<>USDC,1,neutron-astrovault
NTRN<>USDC,50,neutron-duality
NTRN<>USDC,50,neutron-astrovault
NTRN<>USDC,1000,neutron-astroport
NTRN<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,osmosis-poolmanager
TIA<>USDC,50,neutron-duality
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,osmosis-poolmanager
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,osmosis-poolmanager
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1000,neutron-duality
ATOM<>USDC,1,neutron-astroport
ATOM<>USDC,1,osmosis-poolmanager
ATOM<>USDC,50,neutron-astroport
ATOM<>USDC,50,osmosis-poolmanager
ATOM<>USDC,1000,neutron-duality
ATOM<>USDC,1000,osmosis-poolmanager
NTRN<>USDC,1,neutron-duality
NTRN<>USDC,1,neutron-astrovault
NTRN<>USDC,50,neutron-duality
NTRN<>USDC,50,neutron-astrovault
NTRN<>USDC,1000,neutron-astroport
NTRN<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1000,neutron-duality
ATOM<>USDC,1,neutron-astroport
ATOM<>USDC,1,osmosis-poolmanager
ATOM<>USDC,50,neutron-astroport
ATOM<>USDC,50,osmosis-poolmanager
ATOM<>USDC,1000,neutron-duality
ATOM<>USDC,1000,osmosis-poolmanager
NTRN<>USDC,1,neutron-duality
NTRN<>USDC,1,neutron-astrovault
NTRN<>USDC,50,neutron-duality
NTRN<>USDC,50,neutron-astrovault
NTRN<>USDC,1000,neutron-astroport
NTRN<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
ATOM<>USDC,1,neutron-astroport
ATOM<>USDC,1,neutron-duality
ATOM<>USDC,50,neutron-astroport
ATOM<>USDC,50,neutron-duality
ATOM<>USDC,1000,osmosis-poolmanager
ATOM<>USDC,1000,osmosis-poolmanager
NTRN<>USDC,1,neutron-duality
NTRN<>USDC,1,neutron-astrovault
NTRN<>USDC,50,neutron-duality
NTRN<>USDC,50,neutron-astroport
NTRN<>USDC,1000,neutron-astroport
NTRN<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
TIA<>USDC,1,pryzm-native
TIA<>USDC,1,neutron-duality
TIA<>USDC,50,neutron-astroport
TIA<>USDC,50,neutron-duality
TIA<>USDC,1000,neutron-astroport
TIA<>USDC,1000,neutron-duality
ATOM<>USDC,1,neutron-astroport
